Code,Name,Latest_Close,Latest_Volume,Max_Volume_60d,Low_Price_20d_Threshold
002196,方正电机,12.47,313307,2045989,12.905000000000001
002432,九安医疗,40.31,54339,411471,41.01
002880,卫光生物,25.57,4533,25324,26.115000000000002
603176,汇通集团,5.26,58599,493939,5.654999999999999
002017,东信和平,20.91,141600,1297063,21.11
603739,蔚蓝生物,14.2,26326,231747,14.6675
002761,浙江建投,8.54,67071,435910,8.8025
000681,视觉中国,22.32,302551,2171309,22.5225
002777,久远银海,17.69,34704,198350,18.207500000000003
603938,三孚股份,17.54,57060,573425,18.195
002055,得润电子,6.87,138227,1166854,6.9025
601965,中国汽研,16.45,39306,384975,16.6375
002365,永安药业,15.22,44427,440217,15.790000000000001
001319,铭科精技,25.16,16066,114155,25.405
002322,理工能科,11.9,22677,137443,12.105
603980,吉华集团,5.05,93927,1639101,5.255
605100,华丰股份,43.0,29899,207504,44.65
000877,天山股份,5.43,185216,1487132,5.5775
603032,德新科技,18.15,42693,475337,19.697499999999998
002400,省广集团,8.4,751016,6578566,8.735
002803,吉宏股份,15.79,100771,590516,15.8825
002676,顺威股份,7.97,111804,1022853,8.0525
001277,速达股份,38.26,8396,102111,38.8975
000409,云鼎科技,10.99,61768,591289,11.4225
605089,味知香,25.56,14315,104894,26.465
603948,建业股份,25.72,14954,217357,26.8125
600714,金瑞矿业,11.76,45667,370824,12.235
603496,恒为科技,27.21,67184,562495,27.575
600367,红星发展,15.36,88160,511776,16.215
002052,同洲电子,12.42,112909,976398,12.522499999999999
002580,圣阳股份,12.32,53199,432334,12.6325
603158,腾龙股份,9.74,74414,1146205,10.17
600438,通威股份,21.62,543527,3061780,22.4225
603291,联合水务,10.0,25217,220903,10.3125
603716,塞力医疗,20.67,48830,523600,21.0775
605577,龙版传媒,12.97,51734,269002,13.38
603138,海量数据,13.9,30593,369261,14.3225
002866,传艺科技,17.72,69081,358055,18.4675
600316,洪都航空,31.13,59061,297552,31.87
002033,丽江股份,8.81,72717,805328,8.86
603375,盛景微,37.58,10433,91276,39.0225
002945,华林证券,14.7,41536,585027,14.765
000789,万年青,5.32,29831,193406,5.4575000000000005
603006,联明股份,12.63,27689,235535,13.030000000000001
603395,红四方,29.44,18273,100354,31.1175
600168,武汉控股,5.13,58256,1764969,5.23
002980,华盛昌,21.52,15354,127482,22.255000000000003
600375,汉马科技,5.98,166583,1914714,6.1525
002753,永东股份,7.08,88199,624420,7.3675
000626,远大控股,7.67,64437,1153266,7.887499999999999
002715,登云股份,17.67,30714,184956,19.375
605378,野马电池,22.67,28437,284033,23.6025
002286,保龄宝,8.77,79336,573696,9.225
600097,开创国际,11.53,83952,544316,12.219999999999999
603051,鹿山新材,19.83,23158,208961,20.6425
002601,龙佰集团,17.8,117863,667337,17.83
002424,贵州百灵,5.35,127428,1385104,5.4174999999999995
601311,骆驼股份,9.05,185034,1146862,9.195
605399,晨光新材,13.44,83903,553497,14.817499999999999
605050,福然德,12.9,27887,392632,13.1575
000755,山西高速,5.1,93329,924640,5.262499999999999
605011,杭州热电,20.28,17056,145649,20.8225
002186,全 聚 德,11.48,51168,397162,11.5475
002040,南 京 港,10.03,68819,1015030,10.1925
003030,祖名股份,19.72,19925,137227,20.515
002100,天康生物,6.94,261332,1664404,7.04
001282,三联锻造,20.22,24135,422614,20.8525
603232,格尔软件,22.51,166772,895126,23.927500000000002
002283,天润工业,5.99,101426,977451,6.05
601999,出版传媒,6.9,68816,377058,7.09
600769,祥龙电业,12.5,55611,569456,12.754999999999999
603282,亚光股份,18.77,20095,135688,19.3675
002415,海康威视,29.63,491281,2910955,29.732499999999998
002420,毅昌科技,7.02,71338,699703,7.0875
002949,华阳国际,13.28,33864,223192,13.692499999999999
000921,海信家电,25.95,74836,491544,26.1075
605337,李子园,11.63,34304,244849,11.935
002181,粤 传 媒,8.47,331849,2641528,8.760000000000002
603275,众辰科技,41.34,13721,88412,41.84
001238,浙江正特,49.54,2654,17483,50.2825
603856,东宏股份,12.32,18717,155943,12.5975
601669,中国电建,5.26,960275,5675427,5.315
000027,深圳能源,6.6,135701,2130113,6.6275
600110,诺德股份,6.94,586180,2946690,7.295
603181,皇马科技,14.16,55054,437465,14.602500000000001
000034,神州数码,38.75,95952,908850,40.0775
002728,特一药业,11.74,275476,1688446,12.5475
000096,广聚能源,10.38,29415,386388,10.797500000000001
603351,威尔药业,26.01,4691,30435,26.8575
002878,元隆雅图,17.61,87584,695544,18.6325
002743,富煌钢构,5.29,91871,616799,5.4375
003010,若羽臣,34.54,29924,204571,34.599999999999994
003025,思进智能,13.78,33210,328599,13.885
000848,承德露露,8.5,85371,568069,8.5175
600006,东风股份,7.12,117481,1232612,7.3549999999999995
605336,帅丰电器,14.63,24647,159570,15.1475
000998,隆平高科,9.46,97911,556992,9.5775
000628,高新发展,42.24,44123,235549,42.72
600081,东风科技,11.55,23717,152902,11.845
003036,泰坦股份,15.97,26398,286475,16.43
600038,中直股份,34.88,52542,267441,35.09
603538,美诺华,19.87,28853,207639,20.06
605069,正和生态,9.46,40322,211109,9.83
603187,海容冷链,14.7,40317,222200,14.897499999999999
000058,深 赛 格,9.03,67201,1305056,9.1325
601008,连云港,5.17,85093,1593346,5.2875
603639,海利尔,12.38,15465,151826,12.6675
603310,巍华新材,17.05,16108,91018,17.2575
600797,浙大网新,10.13,228163,2986493,10.4375
600215,派斯林,6.76,37904,474590,6.9225
002809,红墙股份,10.36,55942,443925,10.77
002674,兴业科技,12.09,61341,358371,12.665
002806,华锋股份,11.91,82160,504571,12.71
002941,新疆交建,15.93,107042,1741267,16.1275
002900,哈三联,13.19,53028,285677,13.455
600536,中国软件,43.7,124355,1138729,45.010000000000005
603697,有友食品,12.22,42071,361269,12.3525
002733,雄韬股份,20.2,90346,636762,20.43
001229,魅视科技,38.03,20911,137964,39.235
603956,威派格,6.25,90042,1029097,6.4375
603656,泰禾智能,22.55,22107,202343,22.64
000025,特  力Ａ,17.7,99394,526250,18.515
002591,恒大高新,6.3,160546,1039299,6.6225
001218,丽臣实业,22.26,9969,99933,22.509999999999998
000158,常山北明,20.71,348130,2646385,21.69
002119,康强电子,16.35,82540,745913,16.3625
003020,立方制药,27.66,14440,106334,28.042499999999997
000061,农 产 品,9.23,140477,1066956,9.495000000000001
002771,真视通,15.24,35026,249756,15.855
603010,万盛股份,10.5,65749,466046,10.9625
600419,天润乳业,9.42,26254,172939,9.6225
000503,国新健康,9.2,109917,568700,9.4375
000928,中钢国际,6.38,165062,1459767,6.385
002068,黑猫股份,9.0,93608,842931,9.440000000000001
603035,常熟汽饰,15.11,42615,627636,15.295
002576,通达动力,16.59,27983,145955,16.7075
002859,洁美科技,28.95,17817,106091,29.197499999999998
600223,福瑞达,7.25,65867,440172,7.4925
002734,利民股份,15.63,111158,755507,16.425
002242,九阳股份,10.32,134414,724530,10.6525
002010,传化智联,5.65,129894,1654760,5.7975
002864,盘龙药业,32.0,45192,287777,33.2725
603199,九华旅游,34.88,11111,99127,35.235
600611,大众交通,5.46,124673,805386,5.4925
600698,湖南天雁,8.95,88479,903088,9.21
600975,新五丰,5.88,135352,710203,6.01
002952,亚世光电,21.0,45093,230935,21.065
002612,朗姿股份,19.23,66101,513240,20.317500000000003
002107,沃华医药,6.15,91594,687957,6.325
603381,永臻股份,19.97,17424,157693,20.259999999999998
000045,深纺织Ａ,11.96,53983,947363,12.205
002747,埃斯顿,22.0,139342,709173,22.0025
603810,丰山集团,15.5,22450,182946,16.15
002351,漫步者,12.35,47231,615086,12.405
000831,中国稀土,45.75,192096,1295611,46.552499999999995
002998,优彩资源,7.37,49703,356944,7.615
603307,扬州金泉,39.11,5544,57768,40.769999999999996
000989,九芝堂,9.1,77112,591732,9.3675
603706,东方环宇,19.48,10503,72754,20.122500000000002
002456,欧菲光,10.53,593163,8100590,10.924999999999999
002598,山东章鼓,10.82,46938,235350,11.1175
605318,法狮龙,50.3,18884,139788,51.805
603848,好太太,18.63,11682,196244,18.990000000000002
002490,山东墨龙,6.46,196229,1862877,6.97
600826,兰生股份,10.55,75974,576845,11.075000000000001
600211,西藏药业,42.15,23387,179469,42.8275
603079,圣达生物,16.8,26044,220929,17.8375
603301,振德医疗,68.1,50757,341629,71.115
603676,卫信康,10.77,15164,81910,10.93
605116,奥锐特,22.05,10135,65997,22.279999999999998
600929,雪天盐业,5.78,107627,811871,5.855
000514,渝 开 发,5.11,198587,1642682,5.300000000000001
002298,中电鑫龙,10.4,447158,3486791,11.030000000000001
603045,福达合金,19.39,26655,144069,19.807499999999997
600635,大众公用,6.92,930340,7144790,7.1075
000885,城发环境,13.54,52405,273366,13.72
002176,江特电机,9.38,626869,3962383,10.1225
600405,动力源,5.3,79461,716739,5.404999999999999
603231,索宝蛋白,18.47,20544,189122,19.1225
002691,冀凯股份,8.04,71372,832185,8.795
600965,福成股份,5.32,120142,654651,5.505
605108,同庆楼,19.41,64859,357828,20.0275
002293,罗莱生活,9.42,56331,356402,9.4625
603137,恒尚节能,13.88,14477,80009,14.22
603311,金海高科,11.73,38780,196480,11.989999999999998
002574,明牌珠宝,5.46,114950,859479,5.7125
601512,中新集团,8.7,45483,378051,8.9125
002703,浙江世宝,12.15,72171,1137419,12.280000000000001
001308,康冠科技,20.71,19248,103549,21.0975
003038,鑫铂股份,15.21,24717,530672,15.7475
603001,奥康国际,8.59,60659,315752,8.815
603201,XD常润股,16.63,10247,126588,16.875
003007,直真科技,32.88,13539,157688,34.3425
000037,深南电A,8.53,72355,880991,8.74
002317,众生药业,20.77,376810,1929241,22.23
002416,爱施德,11.76,180447,917828,11.780000000000001
002968,新大正,11.24,39564,391552,11.57
002016,世荣兆业,6.06,92546,506445,6.2325
603218,日月股份,12.98,111434,1026494,13.0
603222,济民健康,9.18,127680,1299796,9.5625
600819,耀皮玻璃,8.03,82717,975384,8.23
600143,金发科技,17.9,501013,5758617,18.1175
002681,奋达科技,6.69,367469,2339133,6.869999999999999
603330,天洋新材,7.44,67571,452145,7.6125
002642,荣联科技,8.23,105536,2133421,8.5075
002780,三夫户外,14.49,109451,547623,15.157499999999999
000920,沃顿科技,12.0,42394,277434,12.2325
600916,中国黄金,8.04,137295,991892,8.067499999999999
603108,润达医疗,14.92,76971,479161,15.175
601555,东吴证券,8.93,312793,1923425,8.959999999999999
002053,云南能投,11.1,71778,571080,11.645
600063,皖维高新,5.87,269709,1880285,6.112500000000001
603038,华立股份,16.58,46593,342168,17.197499999999998
603776,永安行,18.14,14938,150632,18.51
001390,古麒绒材,25.9,38070,288146,27.665
605300,佳禾食品,11.76,37444,196344,12.025
605006,山东玻纤,7.13,53537,294732,7.305
002852,道道全,10.31,42879,253191,10.3475
601777,千里科技,10.42,155829,1625481,10.4225
002597,金禾实业,19.84,23078,311908,20.3825
603128,华贸物流,5.84,77369,599615,5.895
002423,中粮资本,11.52,79566,1908992,11.665000000000001
600478,科力远,6.61,356972,2603311,6.8325
002990,盛视科技,27.74,25625,164392,29.044999999999998
002846,英联股份,15.88,59781,589316,17.0975
002094,青岛金王,7.05,96744,1023993,7.2524999999999995
603260,合盛硅业,51.89,74341,527612,55.1275
002707,众信旅游,6.85,100132,795196,6.855
002079,苏州固锝,9.53,86872,708290,9.64
603332,苏州龙杰,12.13,30482,241707,12.55
002245,蔚蓝锂芯,16.03,237147,2944945,16.1975
603406,天富龙,39.06,13345,123422,40.43
002227,奥 特 迅,12.82,44575,498771,13.155
600749,西藏旅游,16.62,29309,436949,17.052500000000002
600315,上海家化,22.75,48756,323490,23.0675
600787,中储股份,5.68,175677,1200867,5.744999999999999
000815,美利云,11.1,72143,408403,11.434999999999999
002827,高争民爆,34.99,22770,228211,35.4175
601808,中海油服,13.75,91475,501821,14.0125
600516,方大炭素,5.83,525589,3883723,6.065
000421,南京公用,6.82,128103,977226,7.0275
001228,永泰运,25.38,12212,115523,26.22
600756,浪潮软件,18.1,207403,1497281,19.66
002101,广东鸿图,12.05,64280,391986,12.3625
600825,新华传媒,6.43,49405,302651,6.5725
002232,启明信息,18.11,38312,539218,18.400000000000002
000985,大庆华科,18.34,21359,208832,18.775
000983,山西焦煤,6.44,247843,2206437,6.65
603111,康尼机电,6.93,71389,359914,6.9325
002455,百川股份,6.76,176622,1285058,7.225
000521,长虹美菱,6.56,59076,319581,6.66
600178,东安动力,11.55,30763,266082,11.8575
002177,御银股份,6.53,136413,1561227,6.615
600812,华北制药,5.59,77489,447904,5.73
002312,川发龙蟒,10.9,269852,2046292,11.425
002391,长青股份,5.65,60587,869268,5.915
603600,永艺股份,11.98,51214,340975,12.025
001255,博菲电气,30.99,11574,116755,31.215
600120,浙江东方,6.1,400917,5211572,6.2975
002629,仁智股份,7.65,67602,891810,8.05
600528,中铁工业,7.95,120394,894509,8.0125
603918,金桥信息,15.52,59046,491147,16.2675
603237,五芳斋,16.28,12841,76075,16.692500000000003
601677,明泰铝业,14.02,138327,702607,14.125
603726,朗迪集团,21.72,51774,263924,22.045
002103,广博股份,9.17,59039,308004,9.395
603922,金鸿顺,19.4,17327,95439,19.5625
002041,登海种业,9.4,68921,348531,9.425
002511,中顺洁柔,7.96,79529,738280,8.08
603107,上海汽配,14.99,18473,156465,15.2325
600667,太极实业,7.8,444505,3890023,7.915
002370,亚太药业,7.24,396641,2898128,7.6525
600764,中国海防,27.03,85168,434157,28.525
603959,百利科技,6.07,222509,2014393,6.3675
002513,蓝丰生化,6.81,133677,1477549,7.52
002324,普利特,12.42,58019,384905,12.695
002011,盾安环境,12.51,124426,1047072,12.665000000000001
000555,神州信息,16.27,274417,2523997,17.195
002160,常铝股份,5.0,327732,2722753,5.2775
002367,康力电梯,7.09,77213,586701,7.1025
002125,湘潭电化,13.24,123421,862906,13.91
002173,创新医疗,20.98,167794,1021912,21.1275
002562,兄弟科技,6.36,178294,2450901,6.5275
605111,新洁能,33.54,81225,920320,34.3125
600470,六国化工,5.8,165371,1122276,6.1125
603917,合力科技,13.96,61609,392484,14.1275
002783,凯龙股份,8.84,63639,318623,9.1375
002929,润建股份,40.04,26218,301633,40.585
603226,菲林格尔,34.07,26624,161533,35.3975
002302,西部建设,6.08,64745,508115,6.2524999999999995
605588,冠石科技,50.12,10037,106716,50.825
002732,燕塘乳业,16.84,34282,268981,17.6375
002015,协鑫能科,9.96,183635,971481,10.045
000665,湖北广电,5.44,289790,2283484,5.8825
000026,飞亚达,14.93,43851,251570,15.182500000000001
605166,聚合顺,10.25,25927,252986,10.5025
000676,智度股份,8.3,166450,1376255,8.58
000062,深圳华强,24.6,68838,428449,25.307499999999997
002686,亿利达,6.55,242251,1303853,6.8125
603053,成都燃气,9.77,28747,231952,9.985
605507,国邦医药,23.12,18816,94087,23.2975
002062,宏润建设,9.45,135445,1447862,9.605
000048,京基智农,13.39,73701,479388,13.5825
600234,科新发展,11.33,41562,246016,11.7925
002669,康达新材,13.23,72453,737051,13.3325
002981,朝阳科技,29.15,28999,219788,29.745
600793,宜宾纸业,21.25,20446,157303,21.67
